iter	Logloss
0	0.6738701294
1	0.6590547306
2	0.6438562967
3	0.6281288519
4	0.613412734
5	0.6051988718
6	0.593227422
7	0.584814086
8	0.5757845973
9	0.5662888152
10	0.5589222713
11	0.550837236
12	0.5447032853
13	0.540219242
14	0.5351918582
15	0.5301340591
16	0.5273010225
17	0.5231602417
18	0.5174097939
19	0.5136603484
20	0.5097789692
21	0.5068590118
22	0.5027830108
23	0.4988387185
24	0.4965991157
25	0.4935131459
26	0.492018957
27	0.4895989505
28	0.4867917377
29	0.4840788803
30	0.48165245
31	0.4799452588
32	0.4771745644
33	0.4755385029
34	0.4743555272
35	0.4724656795
36	0.469864908
37	0.4682656655
38	0.4668524052
39	0.464654272
40	0.4632387073
41	0.4620355428
42	0.4606320123
43	0.4591662218
44	0.4577532914
45	0.455806059
46	0.4539797936
47	0.4522604373
48	0.4508624203
49	0.4493435275
50	0.448407805
51	0.446094807
52	0.444745795
53	0.442816014
54	0.4412406202
55	0.4400486504
56	0.4386986882
57	0.4377159386
58	0.4372124785
59	0.4358696639
60	0.4348061126
61	0.4336818623
62	0.4331637455
63	0.4318590808
64	0.4303671274
65	0.4294350573
66	0.4289232675
67	0.427822118
68	0.4266775084
69	0.4253312216
70	0.4239908414
71	0.423907752
72	0.4237688804
73	0.422826165
74	0.4221207571
75	0.4217106993
76	0.4206588927
77	0.4196406841
78	0.4188318803
79	0.4176492761
80	0.4170161603
81	0.4162355699
82	0.4150635449
83	0.4141552031
84	0.4132421762
85	0.4130359563
86	0.4127646342
87	0.4120441655
88	0.4117757659
89	0.4108341395
90	0.409117451
91	0.4083319651
92	0.4076565656
93	0.4069640911
94	0.4056949397
95	0.4046216051
96	0.4037037642
97	0.4035114532
98	0.4030274541
99	0.4021809325
100	0.4015090133
101	0.4010460107
102	0.4008657425
103	0.4001508982
104	0.3995489434
105	0.399102705
106	0.3983256667
107	0.3973440156
108	0.397246997
109	0.3961923367
110	0.3956433949
111	0.3943166303
112	0.393959384
113	0.3928364378
114	0.3915689965
115	0.3904765437
116	0.3899511227
117	0.3892749544
118	0.3885256317
119	0.3879885047
120	0.387786695
121	0.3871158084
122	0.3866179568
123	0.3863558331
124	0.3854499865
125	0.3849376769
126	0.3840048708
127	0.3830856679
128	0.3824818417
129	0.3818877918
130	0.3812165904
131	0.380460427
132	0.3798619377
133	0.3793899245
134	0.3789654036
135	0.3781716027
136	0.3774963548
137	0.3769306246
138	0.376333439
139	0.3756023073
140	0.3744634331
141	0.3738743507
142	0.3733198225
143	0.3725402507
144	0.372042399
145	0.3710327867
146	0.370949006
147	0.369842436
148	0.369331207
149	0.3688429119
150	0.3685297638
151	0.3676950035
152	0.3665181263
153	0.365773273
154	0.3652710472
155	0.3648923847
156	0.3637805713
157	0.3632405413
158	0.3623910771
159	0.3621137778
160	0.3611553669
161	0.3598931676
162	0.3597426613
163	0.3590273621
164	0.3576038775
165	0.3569894632
166	0.3565254852
167	0.3556883059
168	0.3545940986
169	0.3540934926
170	0.3535427115
171	0.3530169568
172	0.3525071342
173	0.3520188562
174	0.3510690273
175	0.3503486804
176	0.3495787321
177	0.3484528273
178	0.3478701744
179	0.3470374469
180	0.3463040848
181	0.3450065438
182	0.344490062
183	0.3436147375
184	0.3434316507
185	0.3425578555
186	0.342299397
187	0.341804337
188	0.3407382491
189	0.3394478558
190	0.3389152073
191	0.3386439897
192	0.3386127908
193	0.3379355971
194	0.3372162907
195	0.3369110929
196	0.3362545331
197	0.334950878
