iter	Passed	Remaining
0	109	109792
1	129	64851
2	148	49302
3	161	40224
4	175	34844
5	182	30189
6	194	27524
7	207	25676
8	218	24068
9	231	22889
10	243	21900
11	255	21032
12	268	20377
13	282	19862
14	296	19486
15	309	19053
16	315	18228
17	326	17830
18	338	17502
19	351	17242
20	363	16954
21	376	16725
22	388	16513
23	401	16346
24	412	16080
25	424	15914
26	430	15511
27	442	15355
28	454	15229
29	467	15122
30	480	15007
31	493	14918
32	506	14842
33	520	14778
34	533	14713
35	545	14610
36	557	14504
37	569	14415
38	581	14323
39	593	14242
40	605	14162
41	617	14088
42	630	14028
43	644	13997
44	657	13962
45	672	13950
46	685	13895
47	698	13851
48	712	13829
49	726	13794
50	738	13740
51	750	13690
52	762	13632
53	776	13599
54	788	13546
55	801	13506
56	813	13460
57	827	13436
58	840	13400
59	853	13369
60	866	13331
61	879	13309
62	892	13274
63	906	13261
64	919	13225
65	933	13212
66	946	13174
67	959	13157
68	974	13146
69	988	13129
70	1003	13124
71	1009	13008
72	1012	12863
73	1026	12839
74	1040	12832
75	1048	12743
76	1059	12706
77	1073	12691
78	1087	12683
79	1101	12666
80	1114	12644
81	1128	12633
82	1141	12616
83	1154	12592
84	1167	12563
85	1172	12464
86	1183	12417
87	1195	12390
88	1208	12365
89	1218	12322
90	1231	12302
91	1243	12276
92	1256	12252
93	1269	12237
94	1283	12223
95	1297	12216
96	1311	12207
97	1325	12198
98	1339	12194
99	1354	12192
100	1371	12209
101	1385	12201
102	1400	12195
103	1415	12191
104	1428	12172
105	1441	12159
106	1455	12148
107	1469	12133
108	1473	12041
109	1484	12009
110	1497	11995
111	1510	11977
112	1522	11953
113	1536	11940
114	1548	11915
115	1560	11891
116	1573	11878
117	1587	11862
118	1598	11837
119	1612	11822
120	1623	11797
121	1635	11772
122	1648	11752
123	1661	11740
124	1675	11730
125	1689	11716
126	1702	11705
127	1716	11694
128	1729	11676
129	1742	11659
130	1754	11636
131	1768	11627
132	1781	11610
133	1794	11600
134	1807	11581
135	1820	11563
136	1834	11554
137	1848	11546
138	1861	11531
139	1875	11523
140	1890	11516
141	1903	11503
142	1916	11484
143	1928	11466
144	1942	11453
145	1956	11442
146	1969	11427
147	1982	11410
148	1995	11398
149	2008	11382
150	2022	11369
151	2034	11353
152	2048	11338
153	2062	11330
154	2075	11314
155	2088	11297
156	2100	11278
157	2111	11254
158	2124	11235
159	2137	11220
160	2149	11201
161	2162	11185
162	2167	11131
163	2179	11109
164	2191	11090
165	2203	11071
166	2217	11060
167	2230	11043
168	2243	11031
169	2256	11017
170	2270	11007
171	2282	10990
172	2295	10970
173	2307	10952
174	2319	10934
175	2332	10920
176	2344	10903
177	2357	10884
178	2370	10872
179	2383	10857
180	2396	10843
181	2408	10824
182	2420	10805
183	2432	10788
184	2445	10774
185	2458	10757
186	2471	10744
187	2484	10731
188	2496	10713
189	2507	10690
190	2520	10675
191	2533	10663
192	2547	10649
193	2559	10632
194	2571	10614
195	2584	10602
196	2596	10584
197	2608	10566
